twitter_handles,twitter_ids
@TRobinsonNewEra,374712154
@bnp,279157541
@NickGriffinBU,94336415
@EDLofficialpage,2539258598
@JaydaBF,711273343396278272
@BritainFirstHQ,711244331957542912
@GoldingBF,455264233
@bloodandhonour,160015617
@BrDemocrats,2845571279
@BritishMovement,843110060712771585
@Combat18_CH,4193241958
@KnightTemplarUK,1620142537
@NF14WORDS,2873067543
@Infidels_NW,3359187335
@gwalker1312,1608512323
@hostileholly5w,440109993
@paulwestonlibgb,606758368
@AMDWaters,244452577
@TBVBritishVoice,3094322463
@UKFront,3222008795
@garyraikes2,2661093515
@new_right,127070827
@SEastAlliance,876196920
@WatchSharia,4047088157
@StopUKIslam,2786954391
@andrewbronsmep,87939274
@bluehand007,372086400
@MrEPowell,867368094162964480
@EnglishTommy1,4387508296
@Redwatch_NW,3434800887
@PegidaUK1,4804084005
@PegidaUKGroup,2968613451
@Liberty_GB,1159577882
@TradBritGroup,189870199
@BrexitNoww,721046621467906048
@EnglishVoice,27026346
@BNP_Bromley,3341660961
@BNP_Greenwich,3326770761
@BNP_SouthLondon,4788780922
@WestLondonBNP,1012182098
@bnpnottingham,465718977
@boltonbnp,1448769222
@Vote_BNP,854619057101950976
@ForBritainParty,889874319186198528
